ID	Requirement Description	Priority	Category
FR-01	Users shall be able to register, log in, and manage their profiles.	Must Have	Functional
FR-02	The system shall support role-based access control with platform roles of user, admin, and super_admin. Buyer/seller behavior is handled by transaction workflows rather than separate platform role values.	Must Have	Functional
FR-03	Users shall be able to create, edit, and delete product listings with image uploads.	Must Have	Functional
FR-04	The system shall support a complete rental workflow including booking, active rental tracking, and return confirmation.	Must Have	Functional
FR-05	Users shall be able to propose, counter-propose, and mutually accept product swap offers.	Must Have	Functional
FR-06	The system shall integrate Khalti and eSewa payment gateways for processing sale and rental payments.	Must Have	Functional
FR-07	Users shall receive real-time notifications for transactional events via Pusher.	Should Have	Functional
FR-08	The system shall provide keyword search and multi-criteria filtering for product listings.	Should Have	Functional
FR-09	Users shall be able to submit and view ratings and written reviews following completed transactions.	Could Have	Functional
NFR-01	The system shall respond to user interactions within two seconds under normal operating load.	Must Have	Non-Functional
NFR-02	All user passwords shall be stored using bcrypt hashing; sessions shall be managed securely via HTTPS.	Must Have	Non-Functional
NFR-03	The application interface shall be responsive and usable on both desktop and mobile browsers.	Should Have	Non-Functional
